,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,7,1,1,rel1,2,2,irr,rel,irr,mid2,6,1,0,-25,0,-25,0,15,17,12,4,3,-25,-25,15,0,1,0,[2]
1,1,4,1,2,rel1,2,2,irr,irr,irr,irr,2,6,0,0,0,0,0,0,16,17,5,4,0,0,0,0,0,0,[2]
2,2,15,1,1,rel1,2,2,irr,rel,irr,mid2,2,1,0,-25,0,-25,0,15,16,12,5,3,-25,-25,15,0,1,0,[2]
3,3,16,1,2,rel1,2,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,15,13,1,6,0,0,0,0,0,0,[2]
4,4,9,1,1,rel1,2,2,irr,irr,irr,irr,5,2,0,0,0,0,0,0,15,16,1,5,0,0,0,0,0,0,[2]
5,5,10,1,2,rel1,2,2,rel,irr,mid2,irr,1,2,15,0,-25,0,15,0,12,16,3,5,15,-25,15,0,1,0,[2]
6,6,14,1,2,rel1,2,2,irr,rel,irr,mid2,6,1,0,15,0,-25,0,15,17,12,4,3,15,-25,15,0,1,0,[2]
7,7,2,1,2,rel1,2,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,20,15,2,1,0,0,0,0,0,0,[2]
8,8,11,1,1,rel1,2,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,20,16,2,5,0,0,0,0,0,0,[2]
9,9,13,1,1,rel1,2,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,13,16,6,5,0,0,0,0,0,0,[2]
10,10,6,1,2,rel1,2,2,irr,irr,irr,irr,2,4,0,0,0,0,0,0,16,20,5,2,0,0,0,1,0,0,[2]
11,11,1,1,1,rel1,2,2,rel,irr,mid2,irr,1,5,-25,0,-25,0,15,0,12,15,3,1,-25,-25,15,1,1,0,[2]
12,12,3,1,1,rel1,2,2,irr,irr,irr,irr,6,2,0,0,0,0,0,0,17,16,4,5,0,0,0,1,0,0,[2]
13,13,12,1,2,rel1,2,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,20,16,2,5,0,0,0,1,0,0,[2]
14,14,8,1,2,rel1,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,15,17,1,4,0,0,0,1,0,0,[2]
15,15,5,1,1,rel1,2,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,17,13,4,6,0,0,0,1,0,0,[2]
