,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,2,3,2,rel3,1,2,rel,irr,mid3,irr,2,5,-25,0,15,0,-25,0,40,33,1,3,-25.0,15,-25,0,1,0,"[0, 1, 5]"
1,1,20,3,2,rel3,1,2,irr,rel,irr,mid3,4,2,0,-25,0,15,0,-25,36,40,5,1,-24.0,15,-25,0,1,0,"[0, 1, 5]"
2,2,9,3,1,rel3,1,2,rel,rel,mid3,high4,2,3,15,-20,15,-20,-25,40,40,37,1,6,-5.0,-5,15,0,1,0,"[0, 1, 5]"
3,3,35,3,1,rel3,1,2,irr,rel,irr,high4,5,3,0,-20,0,-20,0,40,33,37,3,6,-19.0,-20,40,0,1,0,"[0, 1, 5]"
4,4,40,3,2,rel3,1,2,rel,irr,mid1,irr,1,5,-15,0,25,0,-15,0,34,33,2,3,-18.0,25,-15,0,1,0,"[0, 1, 5]"
5,5,51,3,1,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,31,36,4,5,-1.0,0,0,0,0,0,"[0, 1, 5]"
6,6,28,3,2,rel3,1,2,rel,irr,high4,irr,3,6,40,0,-20,0,40,0,37,31,6,4,40.0,-20,40,0,1,0,"[0, 1, 5]"
7,7,49,3,1,rel3,1,2,irr,rel,irr,mid1,4,1,0,25,0,25,0,-15,36,34,5,2,25.0,25,-15,0,1,0,"[0, 1, 5]"
8,8,31,3,1,rel3,1,2,irr,rel,irr,high4,5,3,0,-20,0,-20,0,40,33,37,3,6,-18.0,-20,40,0,1,0,"[0, 1, 5]"
9,9,11,3,1,rel3,1,2,rel,rel,mid1,high4,1,3,25,-20,25,-20,-15,40,34,37,2,6,4.0,5,25,0,1,0,"[0, 1, 5]"
10,10,19,3,1,rel3,1,2,rel,rel,mid3,mid1,2,1,15,25,15,25,-25,-15,40,34,1,2,42.0,40,-40,0,1,0,"[0, 1, 5]"
11,11,52,3,2,rel3,1,2,rel,irr,mid3,irr,2,6,-25,0,15,0,-25,0,40,31,1,4,-22.0,15,-25,0,1,0,"[0, 1, 5]"
12,12,6,3,2,rel3,1,2,rel,irr,mid1,irr,1,4,-15,0,25,0,-15,0,34,36,2,5,-16.0,25,-15,0,1,0,"[0, 1, 5]"
13,13,33,3,1,rel3,1,2,rel,irr,mid1,irr,1,5,25,0,25,0,-15,0,34,33,2,3,24.0,25,-15,0,1,0,"[0, 1, 5]"
14,14,45,3,1,rel3,1,2,irr,rel,irr,mid1,4,1,0,25,0,25,0,-15,36,34,5,2,26.0,25,-15,0,1,1,"[0, 1, 5]"
15,15,27,3,1,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,36,33,5,3,2.0,0,0,0,0,0,"[0, 1, 5]"
16,16,59,3,1,rel3,1,2,rel,irr,mid1,irr,1,6,25,0,25,0,-15,0,34,31,2,4,27.0,25,-15,0,1,0,"[0, 1, 5]"
17,17,38,3,2,rel3,1,2,irr,irr,irr,irr,4,5,0,0,0,0,0,0,36,33,5,3,-1.0,0,0,0,0,0,"[0, 1, 5]"
18,18,57,3,1,rel3,1,2,irr,rel,irr,high4,5,3,0,-20,0,-20,0,40,33,37,3,6,-19.0,-20,40,1,1,0,"[0, 1, 5]"
19,19,55,3,1,rel3,1,2,irr,rel,irr,mid3,4,2,0,15,0,15,0,-25,36,40,5,1,17.0,15,-25,0,1,1,"[0, 1, 5]"
20,20,4,3,2,rel3,1,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,31,36,4,5,-2.0,0,0,0,0,0,"[0, 1, 5]"
