,tr_id,no_rel_ctxts,target,rel_cond,relevance,condition,condition_id,outcome,stim,stim_positions,shown,order
0,1,3,1,rel3,rel,low-mid,1,-15,35,3,1,3
1,1,3,1,rel3,rel,low,2,10,37,5,0,0
2,1,3,1,rel3,rel,mid-high,3,30,36,1,1,1
3,1,3,1,rel3,irr,irr,4,0,40,2,0,0
4,1,3,1,rel3,irr,irr,5,0,38,6,1,2
5,1,3,1,rel3,irr,irr,6,0,32,4,0,0
0,2,3,2,rel3,rel,low-mid,1,15,35,3,0,0
1,2,3,2,rel3,rel,low,2,-10,37,5,0,0
2,2,3,2,rel3,rel,mid-high,3,-30,36,1,1,3
3,2,3,2,rel3,irr,irr,4,0,40,2,0,0
4,2,3,2,rel3,irr,irr,5,0,38,6,1,2
5,2,3,2,rel3,irr,irr,6,0,32,4,1,1
0,3,3,1,rel3,rel,low-mid,1,-15,35,3,0,0
1,3,3,1,rel3,rel,low,2,10,37,5,1,3
2,3,3,1,rel3,rel,mid-high,3,30,36,1,0,0
3,3,3,1,rel3,irr,irr,4,0,40,2,1,1
4,3,3,1,rel3,irr,irr,5,0,38,6,1,2
5,3,3,1,rel3,irr,irr,6,0,32,4,0,0
0,4,3,2,rel3,rel,low-mid,1,15,35,3,0,0
1,4,3,2,rel3,rel,low,2,-10,37,5,1,2
2,4,3,2,rel3,rel,mid-high,3,-30,36,1,0,0
3,4,3,2,rel3,irr,irr,4,0,40,2,1,1
4,4,3,2,rel3,irr,irr,5,0,38,6,0,0
5,4,3,2,rel3,irr,irr,6,0,32,4,1,3
