tr_id,no_rel_ctxts,target,rel_cond,target,relevance_stim1,relevance_stim2,relevance_stim3,condition_stim1,condition_stim2,condition_stim3,condition_id_stim1,condition_id_stim2,condition_id_stim3,outcome_stim1,outcome_stim2,outcome_stim3,stim_stim1,stim_stim2,stim_stim3,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,outcome
1,3,1,rel3,1,rel,rel,rel,low-mid,high,mid,2,1,3,15,-40,20,39,40,34,4,2,6,-5
2,3,2,rel3,2,rel,irr,irr,low-mid,irr,irr,2,6,4,-5,0,0,39,31,33,4,3,1,-5
3,3,1,rel3,1,irr,rel,irr,irr,high,irr,6,1,5,0,-40,0,31,40,38,3,2,5,-40
4,3,2,rel3,2,rel,rel,rel,high,low-mid,mid,1,2,3,20,-5,-20,40,39,34,2,4,6,-5
5,3,1,rel3,1,irr,rel,irr,irr,high,irr,5,1,4,0,-40,0,38,40,33,5,2,1,-40
6,3,2,rel3,2,irr,rel,rel,irr,mid,low-mid,4,3,2,0,-20,-5,33,34,39,1,6,4,-25
7,3,1,rel3,1,irr,irr,irr,irr,irr,irr,4,5,6,0,0,0,33,38,31,1,5,3,0
8,3,2,rel3,2,irr,rel,rel,irr,mid,low-mid,5,3,2,0,-20,-5,38,34,39,5,6,4,-25
9,3,1,rel3,1,irr,irr,irr,irr,irr,irr,5,6,4,0,0,0,38,31,33,5,3,1,0
10,3,2,rel3,2,rel,rel,irr,mid,low-mid,irr,3,2,5,-20,-5,0,34,39,38,6,4,5,-25
11,3,1,rel3,1,irr,irr,rel,irr,irr,low-mid,5,6,2,0,0,15,38,31,39,5,3,4,15
12,3,2,rel3,2,irr,irr,irr,irr,irr,irr,4,5,6,0,0,0,33,38,31,1,5,3,0
13,3,1,rel3,1,rel,rel,irr,mid,high,irr,3,1,4,20,-40,0,34,40,33,6,2,1,-20
14,3,2,rel3,2,rel,rel,irr,low-mid,high,irr,2,1,6,-5,20,0,39,40,31,4,2,3,15
15,3,1,rel3,1,rel,irr,rel,high,irr,mid,1,5,3,-40,0,20,40,38,34,2,5,6,-20
16,3,2,rel3,2,rel,rel,rel,mid,low-mid,high,3,2,1,-20,-5,20,34,39,40,6,4,2,-5
17,3,1,rel3,1,irr,irr,irr,irr,irr,irr,5,4,6,0,0,0,38,33,31,5,1,3,0
18,3,2,rel3,2,rel,rel,irr,low-mid,high,irr,2,1,6,-5,20,0,39,40,31,4,2,3,15
19,3,1,rel3,1,rel,irr,rel,low-mid,irr,mid,2,4,3,15,0,20,39,33,34,4,1,6,35
20,3,2,rel3,2,rel,rel,irr,low-mid,high,irr,2,1,5,-5,20,0,39,40,38,4,2,5,15
