tr_id,no_rel_ctxts,target,rel_cond,target,relevance_stim1,relevance_stim2,relevance_stim3,condition_stim1,condition_stim2,condition_stim3,condition_id_stim1,condition_id_stim2,condition_id_stim3,outcome_stim1,outcome_stim2,outcome_stim3,stim_stim1,stim_stim2,stim_stim3,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,outcome
18,1,2,rel1,2,rel,irr,irr,low-mid,irr,irr,1,4,2,-5,0,0,19,16,13,5,1,2,-5
9,1,1,rel1,1,rel,irr,irr,low-mid,irr,irr,1,6,5,15,0,0,19,14,11,5,6,4,15
8,1,2,rel1,2,irr,irr,irr,irr,irr,irr,4,3,5,0,0,0,16,17,11,1,3,4,0
16,1,2,rel1,2,irr,rel,irr,irr,low-mid,irr,4,1,5,0,-5,0,16,19,11,1,5,4,-5
17,1,1,rel1,1,irr,irr,irr,irr,irr,irr,6,4,2,0,0,0,14,16,13,6,1,2,0
1,1,1,rel1,1,irr,irr,irr,irr,irr,irr,6,2,5,0,0,0,14,13,11,6,2,4,0
20,1,2,rel1,2,rel,irr,irr,low-mid,irr,irr,1,2,6,-5,0,0,19,13,14,5,2,6,-5
10,1,2,rel1,2,irr,irr,irr,irr,irr,irr,3,6,5,0,0,0,17,14,11,3,6,4,0
13,1,1,rel1,1,irr,rel,irr,irr,low-mid,irr,3,1,5,0,15,0,17,19,11,3,5,4,15
19,1,1,rel1,1,irr,irr,irr,irr,irr,irr,3,2,6,0,0,0,17,13,14,3,2,6,0
2,1,2,rel1,2,irr,irr,irr,irr,irr,irr,6,3,2,0,0,0,14,17,13,6,3,2,0
4,1,2,rel1,2,rel,irr,irr,low-mid,irr,irr,1,3,2,-5,0,0,19,17,13,5,3,2,-5
14,1,2,rel1,2,irr,irr,irr,irr,irr,irr,4,3,6,0,0,0,16,17,14,1,3,6,0
15,1,1,rel1,1,rel,irr,irr,low-mid,irr,irr,1,5,3,15,0,0,19,11,17,5,4,3,15
5,1,1,rel1,1,irr,rel,irr,irr,low-mid,irr,4,1,5,0,15,0,16,19,11,1,5,4,15
6,1,2,rel1,2,irr,rel,irr,irr,low-mid,irr,3,1,4,0,-5,0,17,19,16,3,5,1,-5
11,1,1,rel1,1,irr,irr,irr,irr,irr,irr,2,5,3,0,0,0,13,11,17,2,4,3,0
3,1,1,rel1,1,rel,irr,irr,low-mid,irr,irr,1,5,6,15,0,0,19,11,14,5,4,6,15
7,1,1,rel1,1,rel,irr,irr,low-mid,irr,irr,1,6,5,15,0,0,19,14,11,5,6,4,15
12,1,2,rel1,2,irr,irr,irr,irr,irr,irr,4,6,5,0,0,0,16,14,11,1,6,4,0
