,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision
0,0,3,1,1,rel1,4,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,14,19,2,6,0,0,0,0,0,0
1,1,1,1,1,rel1,4,2,irr,rel,irr,mid2,5,1,0,-25,0,-25,0,15,12,20,4,5,-25,-25,15,0,1,0
2,2,5,1,1,rel1,4,2,irr,rel,irr,mid2,4,1,0,-25,0,-25,0,15,14,20,2,5,-25,-25,15,0,1,0
3,3,10,1,2,rel1,4,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,15,12,3,4,0,0,0,0,0,0
4,4,16,1,2,rel1,4,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,15,18,3,1,0,0,0,0,0,0
5,5,2,1,2,rel1,4,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,15,14,3,2,0,0,0,0,0,0
6,6,9,1,1,rel1,4,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,14,15,2,3,0,0,0,0,0,0
7,7,6,1,2,rel1,4,2,rel,irr,mid2,irr,1,3,15,0,-25,0,15,0,20,18,5,1,15,-25,15,0,1,0
8,8,7,1,1,rel1,4,2,rel,irr,mid2,irr,1,3,-25,0,-25,0,15,0,20,18,5,1,-25,-25,15,0,1,0
9,9,15,1,1,rel1,4,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,12,15,4,3,0,0,0,0,0,0
10,10,14,1,2,rel1,4,2,irr,irr,irr,irr,6,2,0,0,0,0,0,0,15,19,3,6,0,0,0,1,0,0
11,11,12,1,2,rel1,4,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,14,19,2,6,0,0,0,1,0,0
12,12,8,1,2,rel1,4,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,18,19,1,6,0,0,0,1,0,0
13,13,11,1,1,rel1,4,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,15,18,3,1,0,0,0,1,0,0
14,14,13,1,1,rel1,4,2,rel,irr,mid2,irr,1,5,-25,0,-25,0,15,0,20,12,5,4,-25,-25,15,1,1,0
15,15,4,1,2,rel1,4,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,12,18,4,1,0,0,0,1,0,0
