,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,13,1,1,rel1,3,2,irr,irr,irr,irr,5,3,0,0,0,0,0,0,20,16,6,3,0,0,0,0,0,0,[0]
1,1,9,1,1,rel1,3,2,irr,irr,irr,irr,6,2,0,0,0,0,0,0,12,14,1,2,0,0,0,0,0,0,[0]
2,2,6,1,2,rel1,3,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,16,17,3,5,0,0,0,0,0,0,[0]
3,3,7,1,1,rel1,3,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,20,12,6,1,0,0,0,0,0,0,[0]
4,4,1,1,1,rel1,3,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,20,17,6,5,0,0,0,0,0,0,[0]
5,5,15,1,1,rel1,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,16,12,3,1,0,0,0,0,0,0,[0]
6,6,3,1,1,rel1,3,2,irr,irr,irr,irr,2,4,0,0,0,0,0,0,14,17,2,5,0,0,0,0,0,0,[0]
7,7,4,1,2,rel1,3,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,12,17,1,5,0,0,0,0,0,0,[0]
8,8,11,1,1,rel1,3,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,16,17,3,5,0,0,0,0,0,0,[0]
9,9,10,1,2,rel1,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,16,12,3,1,0,0,0,0,0,0,[0]
10,10,12,1,2,rel1,3,2,irr,irr,irr,irr,5,2,0,0,0,0,0,0,20,14,6,2,0,0,0,1,0,0,[0]
11,11,16,1,2,rel1,3,2,irr,irr,irr,irr,6,4,0,0,0,0,0,0,12,17,1,5,0,0,0,1,0,0,[0]
12,12,5,1,1,rel1,3,2,irr,irr,irr,irr,2,3,0,0,0,0,0,0,14,16,2,3,0,0,0,1,0,0,[0]
13,13,2,1,2,rel1,3,2,irr,irr,irr,irr,2,3,0,0,0,0,0,0,14,16,2,3,0,0,0,1,0,0,[0]
14,14,8,1,2,rel1,3,2,irr,rel,irr,low2,2,1,0,15,0,-5,0,15,14,13,2,4,15,-5,15,1,1,0,[0]
15,15,14,1,2,rel1,3,2,rel,irr,low2,irr,1,4,15,0,-5,0,15,0,13,17,4,5,15,-5,15,1,1,1,[0]
