,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,6,1,2,rel1,3,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,18,14,3,6,0,0,0,0,0,0,[3],0
1,1,1,1,1,rel1,3,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,20,15,1,5,0,0,0,0,0,0,[3],0
2,2,11,1,1,rel1,3,2,irr,rel,irr,low4,5,1,0,-15,0,-15,0,5,20,13,1,4,-15,-15,5,0,1,0,[3],0
3,3,5,1,1,rel1,3,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,20,18,1,3,0,0,0,0,0,0,[3],0
4,4,12,1,2,rel1,3,2,irr,irr,irr,irr,5,2,0,0,0,0,0,0,20,14,1,6,0,0,0,0,0,0,[3],0
5,5,2,1,2,rel1,3,2,irr,rel,irr,low4,4,1,0,5,0,-15,0,5,18,13,3,4,5,-15,5,0,1,0,[3],1
6,6,13,1,1,rel1,3,2,irr,irr,irr,irr,5,2,0,0,0,0,0,0,20,14,1,6,0,0,0,0,0,0,[3],0
7,7,9,1,1,rel1,3,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,19,18,2,3,0,0,0,0,0,0,[3],0
8,8,3,1,1,rel1,3,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,19,14,2,6,0,0,0,0,0,0,[3],0
9,9,10,1,2,rel1,3,2,irr,irr,irr,irr,6,2,0,0,0,0,0,0,15,14,5,6,0,0,0,0,0,0,[3],0
10,10,15,1,1,rel1,3,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,20,18,1,3,0,0,0,1,0,0,[3],1
11,11,8,1,2,rel1,3,2,irr,irr,irr,irr,3,2,0,0,0,0,0,0,19,14,2,6,0,0,0,1,0,0,[3],0
12,12,7,1,1,rel1,3,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,19,15,2,5,0,0,0,1,0,0,[3],0
13,13,16,1,2,rel1,3,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,19,18,2,3,0,0,0,1,0,0,[3],0
14,14,14,1,2,rel1,3,2,rel,irr,low4,irr,1,2,5,0,-15,0,5,0,13,14,4,6,5,-15,5,1,1,0,[3],0
15,15,4,1,2,rel1,3,2,irr,irr,irr,irr,4,2,0,0,0,0,0,0,18,14,3,6,0,0,0,1,0,0,[3],0
