,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,52,2,2,rel2,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,27,24,5,3,0.0,0,0,0,0,0,"[5, 0]"
1,1,47,2,1,rel2,5,2,irr,rel,irr,mid1,3,1,0,25,0,25,0,-15,26,21,4,6,22.0,25,-15,0,1,0,"[5, 0]"
2,2,46,2,2,rel2,5,2,rel,rel,mid1,mid2,1,2,-15,15,25,-25,-15,15,21,30,6,1,0.0,0,0,0,1,0,"[5, 0]"
3,3,24,2,2,rel2,5,2,irr,rel,irr,mid1,3,1,0,-15,0,25,0,-15,26,21,4,6,-11.0,25,-15,0,1,0,"[5, 0]"
4,4,17,2,1,rel2,5,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,26,24,4,3,2.0,0,0,0,0,0,"[5, 0]"
5,5,59,2,1,rel2,5,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,26,28,4,2,1.0,0,0,0,0,0,"[5, 0]"
6,6,21,2,1,rel2,5,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,24,27,3,5,1.0,0,0,0,0,0,"[5, 0]"
7,7,18,2,2,rel2,5,2,irr,irr,irr,irr,6,3,0,0,0,0,0,0,27,26,5,4,2.0,0,0,0,0,0,"[5, 0]"
8,8,43,2,1,rel2,5,2,irr,rel,irr,mid2,4,2,0,-25,0,-25,0,15,28,30,2,1,-23.0,-25,15,0,1,0,"[5, 0]"
9,9,15,2,1,rel2,5,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,24,27,3,5,1.0,0,0,0,0,0,"[5, 0]"
10,10,10,2,2,rel2,5,2,rel,irr,mid1,irr,1,5,-15,0,25,0,-15,0,21,24,6,3,-17.0,25,-15,0,1,0,"[5, 0]"
11,11,20,2,2,rel2,5,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,26,27,4,5,-2.0,0,0,0,0,0,"[5, 0]"
12,12,49,2,1,rel2,5,2,rel,irr,mid2,irr,2,5,-25,0,-25,0,15,0,30,24,1,3,-24.0,-25,15,0,1,0,"[5, 0]"
13,13,48,2,2,rel2,5,2,irr,rel,irr,mid1,5,1,0,-15,0,25,0,-15,24,21,3,6,-17.0,25,-15,0,1,0,"[5, 0]"
14,14,25,2,1,rel2,5,2,irr,irr,irr,irr,3,5,0,0,0,0,0,0,26,24,4,3,2.0,0,0,0,0,0,"[5, 0]"
15,15,6,2,2,rel2,5,2,irr,irr,irr,irr,4,6,0,0,0,0,0,0,28,27,2,5,-2.0,0,0,0,0,0,"[5, 0]"
16,16,27,2,1,rel2,5,2,rel,irr,mid2,irr,2,5,-25,0,-25,0,15,0,30,24,1,3,-25.0,-25,15,0,1,1,"[5, 0]"
17,17,44,2,2,rel2,5,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,24,27,3,5,4.0,0,0,0,0,0,"[5, 0]"
18,18,42,2,2,rel2,5,2,irr,irr,irr,irr,3,6,0,0,0,0,0,0,26,27,4,5,3.0,0,0,1,0,0,"[5, 0]"
19,19,8,2,2,rel2,5,2,rel,irr,mid2,irr,2,4,15,0,-25,0,15,0,30,28,1,2,15.0,-25,15,1,1,0,"[5, 0]"
20,20,57,2,1,rel2,5,2,irr,rel,irr,mid2,3,2,0,-25,0,-25,0,15,26,30,4,1,-26.0,-25,15,0,1,0,"[5, 0]"
21,21,22,2,2,rel2,5,2,rel,rel,mid2,mid1,2,1,15,-15,-25,25,15,-15,30,21,1,6,-1.0,0,0,0,1,0,"[5, 0]"
22,22,3,2,1,rel2,5,2,rel,irr,mid2,irr,2,4,-25,0,-25,0,15,0,30,28,1,2,-22.0,-25,15,1,1,0,"[5, 0]"
23,23,50,2,2,rel2,5,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,27,21,5,6,-13.0,25,-15,1,1,0,"[5, 0]"
24,24,51,2,1,rel2,5,2,rel,irr,mid2,irr,2,5,-25,0,-25,0,15,0,30,24,1,3,-23.0,-25,15,0,1,0,"[5, 0]"
25,25,16,2,2,rel2,5,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,27,24,5,3,-5.0,0,0,1,0,0,"[5, 0]"
26,26,9,2,1,rel2,5,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,24,27,3,5,-3.0,0,0,0,0,0,"[5, 0]"
27,27,11,2,1,rel2,5,2,irr,rel,irr,mid1,3,1,0,25,0,25,0,-15,26,21,4,6,24.0,25,-15,0,1,1,"[5, 0]"
28,28,36,2,2,rel2,5,2,irr,rel,irr,mid2,5,2,0,15,0,-25,0,15,24,30,3,1,14.0,-25,15,0,1,1,"[5, 0]"
29,29,33,2,1,rel2,5,2,irr,rel,irr,mid1,3,1,0,25,0,25,0,-15,26,21,4,6,24.0,25,-15,0,1,0,"[5, 0]"
30,30,45,2,1,rel2,5,2,rel,irr,mid1,irr,1,5,25,0,25,0,-15,0,21,24,6,3,29.0,25,-15,0,1,0,"[5, 0]"
31,31,14,2,2,rel2,5,2,rel,rel,mid1,mid2,1,2,-15,15,25,-25,-15,15,21,30,6,1,0.0,0,0,0,1,1,"[5, 0]"
32,32,39,2,1,rel2,5,2,irr,rel,irr,mid1,6,1,0,25,0,25,0,-15,27,21,5,6,26.0,25,-15,0,1,1,"[5, 0]"
33,33,19,2,1,rel2,5,2,rel,irr,mid1,irr,1,3,25,0,25,0,-15,0,21,26,6,4,24.0,25,-15,0,1,0,"[5, 0]"
34,34,60,2,2,rel2,5,2,irr,irr,irr,irr,3,4,0,0,0,0,0,0,26,28,4,2,-2.0,0,0,0,0,0,"[5, 0]"
35,35,30,2,2,rel2,5,2,rel,irr,mid2,irr,2,3,15,0,-25,0,15,0,30,26,1,4,15.0,-25,15,0,1,0,"[5, 0]"
36,36,34,2,2,rel2,5,2,irr,rel,irr,mid2,5,2,0,15,0,-25,0,15,24,30,3,1,14.0,-25,15,1,1,0,"[5, 0]"
37,37,56,2,2,rel2,5,2,irr,rel,irr,mid1,6,1,0,-15,0,25,0,-15,27,21,5,6,-16.0,25,-15,1,1,1,"[5, 0]"
