tr_id,no_rel_ctxts,target,rel_cond,target,relevance_stim1,relevance_stim2,relevance_stim3,condition_stim1,condition_stim2,condition_stim3,condition_id_stim1,condition_id_stim2,condition_id_stim3,outcome_stim1,outcome_stim2,outcome_stim3,stim_stim1,stim_stim2,stim_stim3,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,outcome
8,3,2,rel3,2,irr,rel,rel,irr,mid,low,5,3,2,0,-20,-15,36,32,35,2,5,6,-35.0
48,3,2,rel3,2,irr,rel,irr,irr,mid,irr,6,3,4,0,-20,0,40,32,38,1,5,4,-22.0
118,3,2,rel3,2,rel,irr,irr,low-mid,irr,irr,1,5,4,-5,0,0,34,36,38,3,2,4,-7.0
45,3,1,rel3,1,rel,irr,irr,low-mid,irr,irr,1,4,6,15,0,0,34,38,40,3,4,1,15.0
90,3,2,rel3,2,irr,rel,rel,irr,low,low-mid,4,2,1,0,-15,-5,38,35,34,4,6,3,-18.0
57,3,1,rel3,1,rel,irr,irr,low-mid,irr,irr,1,6,5,15,0,0,34,40,36,3,1,2,11.0
91,3,1,rel3,1,rel,rel,rel,low,mid,low-mid,2,3,1,5,20,15,35,32,34,6,5,3,38.0
111,3,1,rel3,1,rel,irr,irr,mid,irr,irr,3,6,5,20,0,0,32,40,36,5,1,2,21.0
62,3,2,rel3,2,rel,rel,rel,low,mid,low-mid,2,3,1,-15,-20,-5,35,32,34,6,5,3,-39.0
72,3,2,rel3,2,irr,rel,irr,irr,mid,irr,4,3,5,0,-20,0,38,32,36,4,5,2,-19.0
34,3,2,rel3,2,irr,rel,irr,irr,low,irr,6,2,5,0,-15,0,40,35,36,1,6,2,-17.0
98,3,2,rel3,2,rel,irr,rel,low-mid,irr,mid,1,5,3,-5,0,-20,34,36,32,3,2,5,-23.0
1,3,1,rel3,1,irr,irr,rel,irr,irr,mid,6,4,3,0,0,20,40,38,32,1,4,5,19.0
58,3,2,rel3,2,irr,irr,rel,irr,irr,low,4,5,2,0,0,-15,38,36,35,4,2,6,-15.0
