,tr_id,no_rel_ctxts,target,rel_cond,target,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_stim1,outcome_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,require_rating
0,1,3,1,rel3,1,2,2,irr,irr,irr,irr,4,6,0,0,33,34,6,5,4.0,0
1,4,3,2,rel3,2,2,2,rel,irr,high,irr,1,5,-20,0,36,40,3,1,-18.0,0
2,48,3,2,rel3,2,2,2,irr,rel,irr,low-mid,4,3,0,-5,33,37,6,2,-7.0,0
3,22,3,2,rel3,2,2,2,rel,irr,low-mid,irr,3,5,-5,0,37,40,2,1,-7.0,0
4,51,3,1,rel3,1,2,2,rel,rel,mid,high,2,1,20,40,39,36,4,3,59.0,0
5,20,3,2,rel3,2,2,2,rel,irr,mid,irr,2,4,-20,0,39,33,4,6,-19.0,0
6,39,3,1,rel3,1,2,2,irr,rel,irr,high,6,1,0,40,34,36,5,3,41.0,0
7,28,3,2,rel3,2,2,2,rel,rel,low-mid,high,3,1,-5,-20,37,36,2,3,-21.0,0
8,37,3,1,rel3,1,2,2,rel,irr,high,irr,1,6,40,0,36,34,3,5,40.0,0
9,3,3,1,rel3,1,2,2,irr,irr,irr,irr,6,4,0,0,34,33,5,6,2.0,0
10,50,3,2,rel3,2,2,2,rel,irr,high,irr,1,5,-20,0,36,40,3,1,-22.0,0
11,5,3,1,rel3,1,2,2,rel,irr,low-mid,irr,3,6,15,0,37,34,2,5,17.0,0
12,32,3,2,rel3,2,2,2,rel,rel,high,low-mid,1,3,-20,-5,36,37,3,2,-22.0,0
13,55,3,1,rel3,1,2,2,irr,rel,irr,mid,5,2,0,20,40,39,1,4,21.0,0
14,26,3,2,rel3,2,2,2,irr,rel,irr,high,6,1,0,-20,34,36,5,3,-21.0,0
15,18,3,2,rel3,2,2,2,rel,irr,low-mid,irr,3,6,-5,0,37,34,2,5,-6.0,0
16,40,3,2,rel3,2,2,2,rel,irr,mid,irr,2,4,-20,0,39,33,4,6,-19.0,0
17,47,3,1,rel3,1,2,2,rel,irr,high,irr,1,4,40,0,36,33,3,6,40.0,0
18,36,3,2,rel3,2,2,2,irr,rel,irr,low-mid,5,3,0,-5,40,37,1,2,-4.0,0
19,30,3,2,rel3,2,2,2,rel,irr,high,irr,1,4,-20,0,36,33,3,6,-16.0,0
20,25,3,1,rel3,1,2,2,irr,rel,irr,high,4,1,0,40,33,36,6,3,40.0,1
21,56,3,2,rel3,2,2,2,irr,rel,irr,mid,6,2,0,-20,34,39,5,4,-22.0,0
22,41,3,1,rel3,1,2,2,irr,rel,irr,mid,4,2,0,20,33,39,6,4,19.0,0
23,6,3,2,rel3,2,2,2,rel,irr,low-mid,irr,3,6,-5,0,37,34,2,5,-8.0,0
24,46,3,2,rel3,2,2,2,rel,irr,mid,irr,2,4,-20,0,39,33,4,6,-22.0,0
25,13,3,1,rel3,1,2,2,irr,rel,irr,high,4,1,0,40,33,36,6,3,38.0,0
26,60,3,2,rel3,2,2,2,irr,rel,irr,low-mid,6,3,0,-5,34,37,5,2,-6.0,0
27,23,3,1,rel3,1,2,2,irr,rel,irr,mid,6,2,0,20,34,39,5,4,17.0,0
28,35,3,1,rel3,1,2,2,irr,rel,irr,high,5,1,0,40,40,36,1,3,41.0,1
29,17,3,1,rel3,1,2,2,irr,irr,irr,irr,6,5,0,0,34,40,5,1,0.0,0
30,38,3,2,rel3,2,2,2,rel,irr,high,irr,1,6,-20,0,36,34,3,5,-21.0,0
31,44,3,2,rel3,2,2,2,irr,rel,irr,high,6,1,0,-20,34,36,5,3,-16.0,0
32,52,3,2,rel3,2,2,2,irr,rel,irr,high,6,1,0,-20,34,36,5,3,-20.0,0
33,15,3,1,rel3,1,2,2,rel,irr,high,irr,1,6,40,0,36,34,3,5,42.0,0
34,59,3,1,rel3,1,2,2,irr,irr,irr,irr,6,4,0,0,34,33,5,6,6.0,0
35,19,3,1,rel3,1,2,2,rel,irr,mid,irr,2,6,20,0,39,34,4,5,22.0,0
36,42,3,2,rel3,2,2,2,irr,rel,irr,low-mid,6,3,0,-5,34,37,5,2,-5.0,1
37,7,3,1,rel3,1,2,2,irr,rel,irr,low-mid,6,3,0,15,34,37,5,2,14.0,0
38,49,3,1,rel3,1,2,2,rel,rel,mid,high,2,1,20,40,39,36,4,3,60.0,1
39,11,3,1,rel3,1,2,2,rel,irr,mid,irr,2,5,20,0,39,40,4,1,17.0,1
40,31,3,1,rel3,1,2,2,irr,irr,irr,irr,5,6,0,0,40,34,1,5,-3.0,0
41,27,3,1,rel3,1,2,2,rel,irr,mid,irr,2,4,20,0,39,33,4,6,22.0,0
42,21,3,1,rel3,1,2,2,irr,irr,irr,irr,6,5,0,0,34,40,5,1,2.0,1
43,58,3,2,rel3,2,2,2,rel,irr,low-mid,irr,3,6,-5,0,37,34,2,5,-5.0,1
44,2,3,2,rel3,2,2,2,irr,irr,irr,irr,4,5,0,0,33,40,6,1,-1.0,1
45,33,3,1,rel3,1,2,2,rel,rel,mid,low-mid,2,3,20,15,39,37,4,2,36.0,0
46,29,3,1,rel3,1,2,2,irr,rel,irr,high,5,1,0,40,40,36,1,3,43.0,1
47,53,3,1,rel3,1,2,2,irr,irr,irr,irr,6,4,0,0,34,33,5,6,0.0,1
48,43,3,1,rel3,1,2,2,irr,irr,irr,irr,6,5,0,0,34,40,5,1,-1.0,1
49,10,3,2,rel3,2,2,2,rel,rel,low-mid,high,3,1,-5,-20,37,36,2,3,-26.0,0
50,16,3,2,rel3,2,2,2,irr,irr,irr,irr,6,5,0,0,34,40,5,1,0.0,0
51,45,3,1,rel3,1,2,2,irr,rel,irr,high,4,1,0,40,33,36,6,3,39.0,1
52,14,3,2,rel3,2,2,2,irr,irr,irr,irr,5,4,0,0,40,33,1,6,-1.0,1
53,9,3,1,rel3,1,2,2,rel,rel,high,low-mid,1,3,40,15,36,37,3,2,57.0,0
54,24,3,2,rel3,2,2,2,rel,irr,high,irr,1,5,-20,0,36,40,3,1,-20.0,0
55,34,3,2,rel3,2,2,2,rel,rel,low-mid,high,3,1,-5,-20,37,36,2,3,-22.0,0
56,12,3,2,rel3,2,2,2,rel,irr,low-mid,irr,3,4,-5,0,37,33,2,6,-9.0,1
57,57,3,1,rel3,1,2,2,rel,irr,mid,irr,2,5,20,0,39,40,4,1,21.0,1
58,8,3,2,rel3,2,2,2,rel,irr,mid,irr,2,6,-20,0,39,34,4,5,-22.0,1
59,54,3,2,rel3,2,2,2,irr,rel,irr,low-mid,5,3,0,-5,40,37,1,2,-7.0,1
