,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,16,3,2,rel3,1,4,irr,irr,irr,rel,irr,irr,irr,low2,4,6,5,3,0,0,0,15,0,0,0,-5,0,0,0,15,32,36,38,35,1,5,6,3,15.0,-5,15,0,1,0,"[1, 2, 3]",0
1,1,9,3,1,rel3,1,4,rel,irr,irr,irr,high1,irr,irr,irr,1,6,5,4,40,0,0,0,40,0,0,0,-20,0,0,0,39,36,38,32,2,5,6,1,38.0,40,-20,0,1,0,"[1, 2, 3]",0
2,2,6,3,2,rel3,1,4,irr,irr,rel,irr,irr,irr,low3,irr,6,4,2,5,0,0,-5,0,0,0,15,0,0,0,-5,0,36,32,40,38,5,1,4,6,-6.0,15,-5,0,1,0,"[1, 2, 3]",0
3,3,2,3,2,rel3,1,4,irr,rel,rel,irr,irr,low3,low2,irr,6,2,3,4,0,-5,15,0,0,15,-5,0,0,-5,15,0,36,40,35,32,5,4,3,1,12.0,10,10,0,1,0,"[1, 2, 3]",0
4,4,19,3,1,rel3,1,4,rel,irr,rel,irr,low2,irr,low3,irr,3,6,2,4,-5,0,15,0,-5,0,15,0,15,0,-5,0,35,36,40,32,3,5,4,1,8.0,10,10,0,1,0,"[1, 2, 3]",0
5,5,13,3,1,rel3,1,4,rel,irr,irr,rel,high1,irr,irr,low2,1,4,6,3,40,0,0,-5,40,0,0,-5,-20,0,0,15,39,32,36,35,2,1,5,3,36.0,35,-5,0,1,0,"[1, 2, 3]",0
6,6,20,3,2,rel3,1,4,irr,irr,irr,rel,irr,irr,irr,low2,4,6,5,3,0,0,0,15,0,0,0,-5,0,0,0,15,32,36,38,35,1,5,6,3,17.0,-5,15,0,1,0,"[1, 2, 3]",1
7,7,15,3,1,rel3,1,4,rel,irr,irr,rel,low3,irr,irr,low2,2,5,6,3,15,0,0,-5,15,0,0,-5,-5,0,0,15,40,38,36,35,4,6,5,3,10.0,10,10,0,1,1,"[1, 2, 3]",0
8,8,10,3,2,rel3,1,4,rel,irr,rel,irr,low2,irr,high1,irr,3,5,1,4,15,0,-20,0,-5,0,40,0,15,0,-20,0,35,38,39,32,3,6,2,1,-7.0,35,-5,0,1,0,"[1, 2, 3]",0
9,9,11,3,1,rel3,1,4,rel,irr,rel,irr,low3,irr,low2,irr,2,5,3,4,15,0,-5,0,15,0,-5,0,-5,0,15,0,40,38,35,32,4,6,3,1,10.0,10,10,0,1,0,"[1, 2, 3]",0
10,10,12,3,2,rel3,1,4,rel,irr,rel,rel,low3,irr,low2,high1,2,4,3,1,-5,0,15,-20,15,0,-5,40,-5,0,15,-20,40,32,35,39,4,1,3,2,-13.0,50,-10,0,1,1,"[1, 2, 3]",0
11,11,1,3,1,rel3,1,4,rel,rel,irr,irr,low3,low2,irr,irr,2,3,5,4,15,-5,0,0,15,-5,0,0,-5,15,0,0,40,35,38,32,4,3,6,1,11.0,10,10,0,1,0,"[1, 2, 3]",0
12,12,17,3,1,rel3,1,4,irr,irr,irr,rel,irr,irr,irr,high1,4,6,5,1,0,0,0,40,0,0,0,40,0,0,0,-20,32,36,38,39,1,5,6,2,40.0,40,-20,1,1,0,"[1, 2, 3]",0
13,13,14,3,2,rel3,1,4,irr,rel,rel,irr,irr,high1,low2,irr,6,1,3,4,0,-20,15,0,0,40,-5,0,0,-20,15,0,36,39,35,32,5,2,3,1,-5.0,35,-5,1,1,0,"[1, 2, 3]",1
14,14,18,3,2,rel3,1,4,irr,irr,rel,irr,irr,irr,low3,irr,6,5,2,4,0,0,-5,0,0,0,15,0,0,0,-5,0,36,38,40,32,5,6,4,1,-7.0,15,-5,1,1,0,"[1, 2, 3]",0
15,15,3,3,1,rel3,1,4,irr,irr,irr,rel,irr,irr,irr,low3,4,5,6,2,0,0,0,15,0,0,0,15,0,0,0,-5,32,38,36,40,1,6,5,4,13.0,15,-5,1,1,1,"[1, 2, 3]",0
16,16,7,3,1,rel3,1,4,rel,rel,irr,rel,low3,low2,irr,high1,2,3,5,1,15,-5,0,40,15,-5,0,40,-5,15,0,-20,40,35,38,39,4,3,6,2,53.0,50,-10,1,1,0,"[1, 2, 3]",0
17,17,4,3,2,rel3,1,4,rel,rel,irr,irr,low3,high1,irr,irr,2,1,6,4,-5,-20,0,0,15,40,0,0,-5,-20,0,0,40,39,36,32,4,2,5,1,-25.0,55,-25,1,1,1,"[1, 2, 3]",0
18,18,5,3,1,rel3,1,4,irr,irr,rel,rel,irr,irr,high1,low3,5,4,1,2,0,0,40,15,0,0,40,15,0,0,-20,-5,38,32,39,40,6,1,2,4,56.0,55,-25,1,1,1,"[1, 2, 3]",0
19,19,8,3,2,rel3,1,4,rel,rel,rel,irr,high1,low3,low2,irr,1,2,3,6,-20,-5,15,0,40,15,-5,0,-20,-5,15,0,39,40,35,36,2,4,3,5,-9.0,50,-10,1,1,0,"[1, 2, 3]",0
