,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli,questions
0,0,48,3,2,rel3,0,2,irr,irr,irr,irr,5,4,0,0,0,0,0,0,35,33,3,4,1.0,0,0,0,0,0,"[1, 5, 0]",0
1,1,43,3,1,rel3,0,2,rel,irr,high3,irr,2,6,20,0,20,0,-40,0,32,40,2,5,22.0,20,-40,0,1,0,"[1, 5, 0]",0
2,2,4,3,2,rel3,0,2,irr,rel,irr,high3,4,2,0,-40,0,20,0,-40,33,32,4,2,-39.0,20,-40,0,1,0,"[1, 5, 0]",0
3,3,54,3,2,rel3,0,2,rel,irr,mid4,irr,3,5,25,0,-15,0,25,0,34,35,6,3,24.0,-15,25,0,1,0,"[1, 5, 0]",0
4,4,14,3,2,rel3,0,2,irr,rel,irr,mid4,4,3,0,25,0,-15,0,25,33,34,4,6,28.0,-15,25,0,1,0,"[1, 5, 0]",0
5,5,41,3,1,rel3,0,2,irr,rel,irr,mid4,5,3,0,-15,0,-15,0,25,35,34,3,6,-11.0,-15,25,0,1,0,"[1, 5, 0]",0
6,6,8,3,2,rel3,0,2,irr,rel,irr,mid4,5,3,0,25,0,-15,0,25,35,34,3,6,25.0,-15,25,0,1,0,"[1, 5, 0]",0
7,7,36,3,2,rel3,0,2,rel,rel,high3,high1,2,1,-40,-20,20,40,-40,-20,32,39,2,1,-57.0,60,-60,0,1,0,"[1, 5, 0]",0
8,8,45,3,1,rel3,0,2,irr,rel,irr,high1,6,1,0,40,0,40,0,-20,40,39,5,1,41.0,40,-20,0,1,0,"[1, 5, 0]",0
9,9,23,3,1,rel3,0,2,irr,rel,irr,mid4,4,3,0,-15,0,-15,0,25,33,34,4,6,-13.0,-15,25,0,1,0,"[1, 5, 0]",0
10,10,3,3,1,rel3,0,2,rel,rel,high3,high1,2,1,20,40,20,40,-40,-20,32,39,2,1,58.0,60,-60,0,1,0,"[1, 5, 0]",0
11,11,18,3,2,rel3,0,2,rel,rel,high3,mid4,2,3,-40,25,20,-15,-40,25,32,34,2,6,-13.0,5,-15,0,1,0,"[1, 5, 0]",0
12,12,2,3,2,rel3,0,2,irr,rel,irr,high3,4,2,0,-40,0,20,0,-40,33,32,4,2,-40.0,20,-40,0,1,0,"[1, 5, 0]",0
13,13,1,3,1,rel3,0,2,irr,rel,irr,mid4,6,3,0,-15,0,-15,0,25,40,34,5,6,-14.0,-15,25,0,1,0,"[1, 5, 0]",0
14,14,27,3,1,rel3,0,2,rel,irr,high1,irr,1,4,40,0,40,0,-20,0,39,33,1,4,43.0,40,-20,0,1,0,"[1, 5, 0]",0
15,15,56,3,2,rel3,0,2,rel,irr,high3,irr,2,4,-40,0,20,0,-40,0,32,33,2,4,-39.0,20,-40,0,1,0,"[1, 5, 0]",0
16,16,28,3,2,rel3,0,2,rel,irr,mid4,irr,3,5,25,0,-15,0,25,0,34,35,6,3,26.0,-15,25,0,1,1,"[1, 5, 0]",0
17,17,29,3,1,rel3,0,2,irr,rel,irr,high3,4,2,0,20,0,20,0,-40,33,32,4,2,18.0,20,-40,0,1,1,"[1, 5, 0]",0
18,18,59,3,1,rel3,0,2,rel,irr,high3,irr,2,6,20,0,20,0,-40,0,32,40,2,5,19.0,20,-40,1,1,0,"[1, 5, 0]",0
