,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision
0,0,57,4,1,rel4,2,2,rel,irr,mid1,irr,1,6,25,0,25,0,-15,0,42,43,3,5,24.0,25,-15,0,1,0
1,1,29,4,1,rel4,2,2,rel,irr,mid4,irr,4,5,-15,0,-15,0,25,0,47,50,6,4,-15.0,-15,25,0,1,0
2,2,47,4,1,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,0.0,0,0,0,0,0
3,3,39,4,1,rel4,2,2,rel,rel,mid4,mid1,4,1,-15,25,-15,25,25,-15,47,42,6,3,13.0,10,10,0,1,0
4,4,19,4,1,rel4,2,2,irr,rel,irr,mid1,6,1,0,25,0,25,0,-15,43,42,5,3,24.0,25,-15,0,1,0
5,5,7,4,1,rel4,2,2,rel,rel,mid4,low2,4,3,-15,-5,-15,-5,25,15,47,41,6,1,-21.0,-20,40,0,1,0
6,6,21,4,1,rel4,2,2,rel,irr,low3,irr,2,6,15,0,15,0,-5,0,46,43,2,5,14.0,15,-5,0,1,0
7,7,36,4,2,rel4,2,2,irr,rel,irr,low3,6,2,0,-5,0,15,0,-5,43,46,5,2,-3.0,15,-5,0,1,0
8,8,60,4,2,rel4,2,2,rel,irr,low3,irr,2,5,-5,0,15,0,-5,0,46,50,2,4,-6.0,15,-5,0,1,0
9,9,56,4,2,rel4,2,2,rel,irr,mid4,irr,4,6,25,0,-15,0,25,0,47,43,6,5,23.0,-15,25,0,1,0
10,10,4,4,2,rel4,2,2,irr,rel,irr,mid4,6,4,0,25,0,-15,0,25,43,47,5,6,23.0,-15,25,0,1,0
11,11,16,4,2,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,2.0,0,0,0,0,0
12,12,11,4,1,rel4,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,50,43,4,5,-1.0,0,0,0,0,0
13,13,50,4,2,rel4,2,2,rel,irr,mid4,irr,4,5,25,0,-15,0,25,0,47,50,6,4,27.0,-15,25,0,1,0
14,14,41,4,1,rel4,2,2,irr,rel,irr,low2,6,3,0,-5,0,-5,0,15,43,41,5,1,-4.0,-5,15,0,1,0
15,15,8,4,2,rel4,2,2,rel,irr,low2,irr,3,6,15,0,-5,0,15,0,41,43,1,5,17.0,-5,15,0,1,0
16,16,48,4,2,rel4,2,2,rel,rel,mid1,low3,1,2,-15,-5,25,15,-15,-5,42,46,3,2,-20.0,40,-20,0,1,0
17,17,59,4,1,rel4,2,2,rel,rel,low2,low3,3,2,-5,15,-5,15,15,-5,41,46,1,2,9.0,10,10,0,1,0
18,18,12,4,2,rel4,2,2,irr,rel,irr,low2,5,3,0,15,0,-5,0,15,50,41,4,1,12.0,-5,15,0,1,0
19,19,1,4,1,rel4,2,2,irr,rel,irr,low3,6,2,0,15,0,15,0,-5,43,46,5,2,16.0,15,-5,0,1,1
20,20,33,4,1,rel4,2,2,rel,irr,mid4,irr,4,5,-15,0,-15,0,25,0,47,50,6,4,-9.0,-15,25,0,1,1
21,21,18,4,2,rel4,2,2,rel,rel,low2,mid1,3,1,15,-15,-5,25,15,-15,41,42,1,3,-3.0,20,0,0,1,0
22,22,35,4,1,rel4,2,2,rel,rel,low2,low3,3,2,-5,15,-5,15,15,-5,41,46,1,2,11.0,10,10,0,1,1
23,23,45,4,1,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,-2.0,0,0,0,0,0
24,24,31,4,1,rel4,2,2,irr,rel,irr,low2,5,3,0,-5,0,-5,0,15,50,41,4,1,-5.0,-5,15,0,1,1
25,25,38,4,2,rel4,2,2,rel,rel,mid1,low3,1,2,-15,-5,25,15,-15,-5,42,46,3,2,-17.0,40,-20,0,1,1
26,26,25,4,1,rel4,2,2,rel,rel,low2,mid4,3,4,-5,-15,-5,-15,15,25,41,47,1,6,-21.0,-20,40,0,1,0
27,27,37,4,1,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,1.0,0,0,1,0,0
28,28,43,4,1,rel4,2,2,rel,rel,low3,mid4,2,4,15,-15,15,-15,-5,25,46,47,2,6,0.0,0,20,0,1,1
29,29,55,4,1,rel4,2,2,irr,rel,irr,low3,5,2,0,15,0,15,0,-5,50,46,4,2,10.0,15,-5,0,1,0
30,30,44,4,2,rel4,2,2,rel,irr,low3,irr,2,5,-5,0,15,0,-5,0,46,50,2,4,-3.0,15,-5,0,1,0
31,31,58,4,2,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,-1.0,0,0,0,0,0
32,32,5,4,1,rel4,2,2,rel,rel,mid1,low3,1,2,25,15,25,15,-15,-5,42,46,3,2,44.0,40,-20,0,1,1
33,33,46,4,2,rel4,2,2,irr,rel,irr,low2,6,3,0,15,0,-5,0,15,43,41,5,1,16.0,-5,15,0,1,0
34,34,22,4,2,rel4,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,50,43,4,5,3.0,0,0,0,0,0
35,35,9,4,1,rel4,2,2,irr,rel,irr,mid4,6,4,0,-15,0,-15,0,25,43,47,5,6,-18.0,-15,25,0,1,0
36,36,53,4,1,rel4,2,2,rel,rel,low2,low3,3,2,-5,15,-5,15,15,-5,41,46,1,2,7.0,10,10,1,1,0
37,37,42,4,2,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,-4.0,0,0,1,0,0
38,38,10,4,2,rel4,2,2,irr,rel,irr,mid4,6,4,0,25,0,-15,0,25,43,47,5,6,27.0,-15,25,1,1,1
39,39,28,4,2,rel4,2,2,rel,rel,low3,low2,2,3,-5,15,15,-5,-5,15,46,41,2,1,13.0,10,10,1,1,0
40,40,49,4,1,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,43,50,5,4,0.0,0,0,1,0,0
41,41,26,4,2,rel4,2,2,rel,irr,low2,irr,3,5,15,0,-5,0,15,0,41,50,1,4,18.0,-5,15,1,1,0
42,42,3,4,1,rel4,2,2,rel,irr,low3,irr,2,5,15,0,15,0,-5,0,46,50,2,4,14.0,15,-5,0,1,0
43,43,24,4,2,rel4,2,2,rel,rel,mid1,mid4,1,4,-15,25,25,-15,-15,25,42,47,3,6,12.0,10,10,1,1,0
44,44,6,4,2,rel4,2,2,rel,irr,low2,irr,3,6,15,0,-5,0,15,0,41,43,1,5,12.0,-5,15,1,1,0
45,45,15,4,1,rel4,2,2,irr,rel,irr,low3,6,2,0,15,0,15,0,-5,43,46,5,2,13.0,15,-5,1,1,0
