,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,condition_stim1,condition_stim2,condition_id_stim1,condition_id_stim2,outcome_rel_stim1,outcome_rel_stim2,outcome_t1_stim1,outcome_t1_stim2,outcome_t2_stim1,outcome_t2_stim2,stim_stim1,stim_stim2,stim_positions_stim1,stim_positions_stim2,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,47,4,1,rel4,2,2,rel,irr,mid1,irr,2,6,25,0,25,0,-15,0,45,42,6,5,25.0,25,-15,0,1,0,"[1, 3, 0, 2]"
1,1,20,4,2,rel4,2,2,rel,rel,low2,high1,4,1,15,-20,-5,40,15,-20,43,49,2,3,-4.0,35,-5,0,1,0,"[1, 3, 0, 2]"
2,2,10,4,2,rel4,2,2,rel,rel,high1,low3,1,3,-20,-5,40,15,-20,-5,49,50,3,1,-22.0,55,-25,0,1,0,"[1, 3, 0, 2]"
3,3,49,4,1,rel4,2,2,rel,irr,high1,irr,1,5,40,0,40,0,-20,0,49,47,3,4,37.0,40,-20,0,1,0,"[1, 3, 0, 2]"
4,4,52,4,2,rel4,2,2,rel,rel,low3,low2,3,4,-5,15,15,-5,-5,15,50,43,1,2,11.0,10,10,0,1,0,"[1, 3, 0, 2]"
5,5,8,4,2,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,42,47,5,4,-1.0,0,0,0,0,0,"[1, 3, 0, 2]"
6,6,13,4,1,rel4,2,2,rel,irr,high1,irr,1,6,40,0,40,0,-20,0,49,42,3,5,43.0,40,-20,0,1,0,"[1, 3, 0, 2]"
7,7,57,4,1,rel4,2,2,irr,irr,irr,irr,6,5,0,0,0,0,0,0,42,47,5,4,0.0,0,0,0,0,0,"[1, 3, 0, 2]"
8,8,1,4,1,rel4,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,47,42,4,5,-3.0,0,0,0,0,0,"[1, 3, 0, 2]"
9,9,45,4,1,rel4,2,2,rel,rel,low3,high1,3,1,15,40,15,40,-5,-20,50,49,1,3,55.0,55,-25,0,1,0,"[1, 3, 0, 2]"
10,10,18,4,2,rel4,2,2,irr,rel,irr,mid1,5,2,0,-15,0,25,0,-15,47,45,4,6,-16.0,25,-15,0,1,0,"[1, 3, 0, 2]"
11,11,24,4,2,rel4,2,2,rel,rel,low2,high1,4,1,15,-20,-5,40,15,-20,43,49,2,3,-8.0,35,-5,0,1,0,"[1, 3, 0, 2]"
12,12,25,4,1,rel4,2,2,irr,rel,irr,mid1,6,2,0,25,0,25,0,-15,42,45,5,6,24.0,25,-15,0,1,0,"[1, 3, 0, 2]"
13,13,11,4,1,rel4,2,2,rel,rel,low2,high1,4,1,-5,40,-5,40,15,-20,43,49,2,3,31.0,35,-5,0,1,0,"[1, 3, 0, 2]"
14,14,41,4,1,rel4,2,2,rel,irr,mid1,irr,2,6,25,0,25,0,-15,0,45,42,6,5,24.0,25,-15,0,1,0,"[1, 3, 0, 2]"
15,15,60,4,2,rel4,2,2,rel,rel,mid1,low2,2,4,-15,15,25,-5,-15,15,45,43,6,2,0.0,20,0,0,1,1,"[1, 3, 0, 2]"
16,16,32,4,2,rel4,2,2,irr,rel,irr,mid1,6,2,0,-15,0,25,0,-15,42,45,5,6,-15.0,25,-15,0,1,1,"[1, 3, 0, 2]"
17,17,36,4,2,rel4,2,2,irr,rel,irr,low2,6,4,0,15,0,-5,0,15,42,43,5,2,16.0,-5,15,0,1,0,"[1, 3, 0, 2]"
18,18,9,4,1,rel4,2,2,rel,rel,mid1,low2,2,4,25,-5,25,-5,-15,15,45,43,6,2,21.0,20,0,0,1,0,"[1, 3, 0, 2]"
19,19,53,4,1,rel4,2,2,rel,irr,low3,irr,3,6,15,0,15,0,-5,0,50,42,1,5,11.0,15,-5,0,1,0,"[1, 3, 0, 2]"
20,20,35,4,1,rel4,2,2,rel,rel,low2,high1,4,1,-5,40,-5,40,15,-20,43,49,2,3,35.0,35,-5,1,1,1,"[1, 3, 0, 2]"
21,21,29,4,1,rel4,2,2,rel,rel,low2,mid1,4,2,-5,25,-5,25,15,-15,43,45,2,6,19.0,20,0,1,1,1,"[1, 3, 0, 2]"
22,22,7,4,1,rel4,2,2,rel,rel,high1,low3,1,3,40,15,40,15,-20,-5,49,50,3,1,56.0,55,-25,0,1,0,"[1, 3, 0, 2]"
23,23,6,4,2,rel4,2,2,rel,rel,high1,low3,1,3,-20,-5,40,15,-20,-5,49,50,3,1,-25.0,55,-25,0,1,0,"[1, 3, 0, 2]"
24,24,55,4,1,rel4,2,2,irr,rel,irr,high1,5,1,0,40,0,40,0,-20,47,49,4,3,39.0,40,-20,0,1,0,"[1, 3, 0, 2]"
25,25,27,4,1,rel4,2,2,irr,rel,irr,low2,5,4,0,-5,0,-5,0,15,47,43,4,2,-3.0,-5,15,1,1,0,"[1, 3, 0, 2]"
26,26,33,4,1,rel4,2,2,rel,irr,low3,irr,3,6,15,0,15,0,-5,0,50,42,1,5,13.0,15,-5,0,1,0,"[1, 3, 0, 2]"
27,27,54,4,2,rel4,2,2,rel,irr,mid1,irr,2,6,-15,0,25,0,-15,0,45,42,6,5,-12.0,25,-15,1,1,1,"[1, 3, 0, 2]"
28,28,19,4,1,rel4,2,2,irr,rel,irr,low2,6,4,0,-5,0,-5,0,15,42,43,5,2,-6.0,-5,15,0,1,0,"[1, 3, 0, 2]"
29,29,51,4,1,rel4,2,2,rel,rel,low2,mid1,4,2,-5,25,-5,25,15,-15,43,45,2,6,19.0,20,0,0,1,0,"[1, 3, 0, 2]"
30,30,44,4,2,rel4,2,2,irr,rel,irr,high1,5,1,0,-20,0,40,0,-20,47,49,4,3,-20.0,40,-20,0,1,1,"[1, 3, 0, 2]"
31,31,22,4,2,rel4,2,2,irr,irr,irr,irr,5,6,0,0,0,0,0,0,47,42,4,5,1.0,0,0,1,0,0,"[1, 3, 0, 2]"
32,32,31,4,1,rel4,2,2,rel,rel,low3,mid1,3,2,15,25,15,25,-5,-15,50,45,1,6,40.0,40,-20,0,1,1,"[1, 3, 0, 2]"
33,33,14,4,2,rel4,2,2,irr,rel,irr,mid1,6,2,0,-15,0,25,0,-15,42,45,5,6,-14.0,25,-15,0,1,1,"[1, 3, 0, 2]"
34,34,5,4,1,rel4,2,2,rel,irr,mid1,irr,2,6,25,0,25,0,-15,0,45,42,6,5,25.0,25,-15,0,1,1,"[1, 3, 0, 2]"
35,35,56,4,2,rel4,2,2,irr,rel,irr,low3,5,3,0,-5,0,15,0,-5,47,50,4,1,2.0,15,-5,0,1,1,"[1, 3, 0, 2]"
36,36,3,4,1,rel4,2,2,rel,rel,mid1,high1,2,1,25,40,25,40,-15,-20,45,49,6,3,68.0,65,-35,1,1,0,"[1, 3, 0, 2]"
37,37,34,4,2,rel4,2,2,rel,rel,low3,high1,3,1,-5,-20,15,40,-5,-20,50,49,1,3,-27.0,55,-25,1,1,1,"[1, 3, 0, 2]"
38,38,15,4,1,rel4,2,2,rel,irr,low3,irr,3,6,15,0,15,0,-5,0,50,42,1,5,21.0,15,-5,0,1,0,"[1, 3, 0, 2]"
39,39,12,4,2,rel4,2,2,rel,rel,mid1,high1,2,1,-15,-20,25,40,-15,-20,45,49,6,3,-38.0,65,-35,1,1,0,"[1, 3, 0, 2]"
40,40,59,4,1,rel4,2,2,rel,rel,mid1,low2,2,4,25,-5,25,-5,-15,15,45,43,6,2,21.0,20,0,1,1,0,"[1, 3, 0, 2]"
41,41,38,4,2,rel4,2,2,rel,rel,high1,low3,1,3,-20,-5,40,15,-20,-5,49,50,3,1,-25.0,55,-25,1,1,0,"[1, 3, 0, 2]"
42,42,23,4,1,rel4,2,2,rel,rel,low2,high1,4,1,-5,40,-5,40,15,-20,43,49,2,3,36.0,35,-5,1,1,1,"[1, 3, 0, 2]"
43,43,46,4,2,rel4,2,2,rel,irr,mid1,irr,2,6,-15,0,25,0,-15,0,45,42,6,5,-12.0,25,-15,1,1,1,"[1, 3, 0, 2]"
44,44,37,4,1,rel4,2,2,irr,rel,irr,low3,6,3,0,15,0,15,0,-5,42,50,5,1,18.0,15,-5,0,1,1,"[1, 3, 0, 2]"
45,45,16,4,2,rel4,2,2,rel,rel,low3,low2,3,4,-5,15,15,-5,-5,15,50,43,1,2,12.0,10,10,1,1,0,"[1, 3, 0, 2]"
46,46,28,4,2,rel4,2,2,rel,irr,mid1,irr,2,5,-15,0,25,0,-15,0,45,47,6,4,-17.0,25,-15,1,1,1,"[1, 3, 0, 2]"
47,47,26,4,2,rel4,2,2,irr,rel,irr,mid1,5,2,0,-15,0,25,0,-15,47,45,4,6,-14.0,25,-15,0,1,1,"[1, 3, 0, 2]"
48,48,43,4,1,rel4,2,2,irr,rel,irr,mid1,6,2,0,25,0,25,0,-15,42,45,5,6,25.0,25,-15,1,1,0,"[1, 3, 0, 2]"
49,49,42,4,2,rel4,2,2,rel,irr,mid1,irr,2,6,-15,0,25,0,-15,0,45,42,6,5,-15.0,25,-15,1,1,1,"[1, 3, 0, 2]"
50,50,30,4,2,rel4,2,2,rel,rel,mid1,low2,2,4,-15,15,25,-5,-15,15,45,43,6,2,1.0,20,0,1,1,0,"[1, 3, 0, 2]"
51,51,21,4,1,rel4,2,2,rel,rel,mid1,low2,2,4,25,-5,25,-5,-15,15,45,43,6,2,22.0,20,0,0,1,0,"[1, 3, 0, 2]"
52,52,58,4,2,rel4,2,2,rel,irr,low2,irr,4,5,15,0,-5,0,15,0,43,47,2,4,13.0,-5,15,0,1,0,"[1, 3, 0, 2]"
53,53,4,4,2,rel4,2,2,irr,rel,irr,low2,5,4,0,15,0,-5,0,15,47,43,4,2,13.0,-5,15,1,1,1,"[1, 3, 0, 2]"
54,54,50,4,2,rel4,2,2,rel,rel,high1,mid1,1,2,-20,-15,40,25,-20,-15,49,45,3,6,-37.0,65,-35,1,1,0,"[1, 3, 0, 2]"
