,index,tr_id,no_rel_ctxts,target,rel_cond,correct_stim,no_shown,relevance_stim1,relevance_stim2,relevance_stim3,relevance_stim4,condition_stim1,condition_stim2,condition_stim3,condition_stim4,condition_id_stim1,condition_id_stim2,condition_id_stim3,condition_id_stim4,outcome_rel_stim1,outcome_rel_stim2,outcome_rel_stim3,outcome_rel_stim4,outcome_t1_stim1,outcome_t1_stim2,outcome_t1_stim3,outcome_t1_stim4,outcome_t2_stim1,outcome_t2_stim2,outcome_t2_stim3,outcome_t2_stim4,stim_stim1,stim_stim2,stim_stim3,stim_stim4,stim_positions_stim1,stim_positions_stim2,stim_positions_stim3,stim_positions_stim4,outcome,t1_ev,t2_ev,require_rating,suit_for_dec,decision,correct_stimuli
0,0,3,4,1,rel4,4,4,rel,irr,rel,rel,high3,irr,mid1,mid2,2,6,1,4,20,0,25,-25,20,0,25,-25,-40,0,-15,15,49,43,50,44,2,3,5,1,19.0,20,-40,0,1,0,"[1, 5, 4, 0]"
1,1,9,4,1,rel4,4,4,irr,rel,rel,rel,irr,high3,mid1,mid2,6,2,1,4,0,20,25,-25,0,20,25,-25,0,-40,-15,15,43,49,50,44,3,2,5,1,23.0,20,-40,0,1,0,"[1, 5, 4, 0]"
2,2,20,4,2,rel4,4,4,irr,rel,rel,rel,irr,low3,high3,mid2,5,3,2,4,0,-5,-40,15,0,15,20,-25,0,-5,-40,15,41,47,49,44,4,6,2,1,-30.0,10,-30,0,1,0,"[1, 5, 4, 0]"
3,3,4,4,2,rel4,4,4,irr,irr,rel,rel,irr,irr,mid1,low3,6,5,1,3,0,0,-15,-5,0,0,25,15,0,0,-15,-5,43,41,50,47,3,4,5,6,-23.0,40,-20,0,1,0,"[1, 5, 4, 0]"
4,4,18,4,2,rel4,4,4,irr,irr,rel,rel,irr,irr,high3,low3,5,6,2,3,0,0,-40,-5,0,0,20,15,0,0,-40,-5,41,43,49,47,4,3,2,6,-44.0,35,-45,0,1,0,"[1, 5, 4, 0]"
5,5,13,4,1,rel4,4,4,rel,rel,irr,rel,low3,high3,irr,mid2,3,2,5,4,15,20,0,-25,15,20,0,-25,-5,-40,0,15,47,49,41,44,6,2,4,1,9.0,10,-30,0,1,0,"[1, 5, 4, 0]"
6,6,16,4,2,rel4,4,4,rel,rel,rel,irr,low3,mid2,mid1,irr,3,4,1,6,-5,15,-15,0,15,-25,25,0,-5,15,-15,0,47,44,50,43,6,1,5,3,-3.0,15,-5,0,1,1,"[1, 5, 4, 0]"
7,7,6,4,2,rel4,4,4,rel,rel,irr,rel,high3,low3,irr,mid1,2,3,6,1,-40,-5,0,-15,20,15,0,25,-40,-5,0,-15,49,47,43,50,2,6,3,5,-58.0,60,-60,0,1,0,"[1, 5, 4, 0]"
8,8,12,4,2,rel4,4,4,rel,irr,rel,rel,low3,irr,high3,mid2,3,5,2,4,-5,0,-40,15,15,0,20,-25,-5,0,-40,15,47,41,49,44,6,4,2,1,-32.0,10,-30,1,1,0,"[1, 5, 4, 0]"
9,9,17,4,1,rel4,4,4,rel,rel,rel,irr,mid1,mid2,low3,irr,1,4,3,5,25,-25,15,0,25,-25,15,0,-15,15,-5,0,50,44,47,41,5,1,6,4,12.0,15,-5,0,1,0,"[1, 5, 4, 0]"
10,10,1,4,1,rel4,4,4,irr,rel,rel,rel,irr,mid2,low3,high3,5,4,3,2,0,-25,15,20,0,-25,15,20,0,15,-5,-40,41,44,47,49,4,1,6,2,7.0,10,-30,0,1,0,"[1, 5, 4, 0]"
11,11,19,4,1,rel4,4,4,rel,rel,irr,rel,low3,mid1,irr,high3,3,1,6,2,15,25,0,20,15,25,0,20,-5,-15,0,-40,47,50,43,49,6,5,3,2,64.0,60,-60,0,1,1,"[1, 5, 4, 0]"
12,12,14,4,2,rel4,4,4,irr,rel,rel,rel,irr,high3,low3,mid2,6,2,3,4,0,-40,-5,15,0,20,15,-25,0,-40,-5,15,43,49,47,44,3,2,6,1,-30.0,10,-30,0,1,1,"[1, 5, 4, 0]"
13,13,8,4,2,rel4,4,4,rel,rel,rel,rel,high3,mid1,mid2,low3,2,1,4,3,-40,-15,15,-5,20,25,-25,15,-40,-15,15,-5,49,50,44,47,2,5,1,6,-45.0,35,-45,1,1,1,"[1, 5, 4, 0]"
14,14,11,4,1,rel4,4,4,rel,irr,rel,irr,mid2,irr,low3,irr,4,5,3,6,-25,0,15,0,-25,0,15,0,15,0,-5,0,44,41,47,43,1,4,6,3,-10.0,-10,10,0,1,1,"[1, 5, 4, 0]"
15,15,2,4,2,rel4,4,4,rel,rel,rel,irr,low3,mid1,mid2,irr,3,1,4,5,-5,-15,15,0,15,25,-25,0,-5,-15,15,0,47,50,44,41,6,5,1,4,-4.0,15,-5,1,1,1,"[1, 5, 4, 0]"
16,16,10,4,2,rel4,4,4,irr,rel,irr,rel,irr,high3,irr,mid1,6,2,5,1,0,-40,0,-15,0,20,0,25,0,-40,0,-15,43,49,41,50,3,2,4,5,-54.0,45,-55,1,1,1,"[1, 5, 4, 0]"
17,17,5,4,1,rel4,4,4,irr,rel,rel,rel,irr,mid1,high3,mid2,6,1,2,4,0,25,20,-25,0,25,20,-25,0,-15,-40,15,43,50,49,44,3,5,2,1,20.0,20,-40,1,1,1,"[1, 5, 4, 0]"
18,18,15,4,1,rel4,4,4,rel,rel,irr,rel,low3,mid2,irr,mid1,3,4,5,1,15,-25,0,25,15,-25,0,25,-5,15,0,-15,47,44,41,50,6,1,4,5,15.0,15,-5,1,1,1,"[1, 5, 4, 0]"
19,19,7,4,1,rel4,4,4,irr,irr,rel,rel,irr,irr,mid2,low3,6,5,4,3,0,0,-25,15,0,0,-25,15,0,0,15,-5,43,41,44,47,3,4,1,6,-13.0,-10,10,1,1,0,"[1, 5, 4, 0]"
